"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0021954","central nervous system neuron development","29/2806","98/18860",0.295918367346939,1.98895951823352,4.10358582531477,0.000147195295818922,0.0103926725140988,0.00938122283144588,"ARHGAP35/CRKL/DCLK2/DISC1/EPHB2/EPHB3/FEZF2/GABRB1/GATA2/GBA2/LHX6/MAPT/NDEL1/NDNF/NFIB/NTRK2/PAFAH1B1/PALS1/PLXNA1/PLXNA3/PLXNA4/PRKCA/RAC1/SCN1B/SOX1/SPAST/SPTBN4/TAOK1/UBB",29
"GO:0045814","negative regulation of gene expression, epigenetic","49/2806","197/18860",0.248730964467005,1.67179828576184,3.96271474280491,0.000150917872455229,0.0105330266844615,0.0095079172640578,"CDKN2B-AS1/CTR9/DNMT1/DYRK1A/EED/EHMT1/EHMT2/EPC1/H2AC11/H2AC12/H2AC13/H2AC19/H2AC20/H2AC25/H2AC6/H2AC8/H2AX/HDAC5/HMGA2/HNRNPU/ING2/JARID2/L3MBTL1/LHX2/MAEL/MBD1/MBD3/MECP2/MORC1/MOV10L1/PCGF3/PPM1D/SIRT7/SMARCA4/SMARCA5/SMCHD1/SPEN/SPIN1/SUV39H1/SUV39H2/TASOR2/TDRD5/TRIM27/TRIM28/TRIM37/UHRF1/UHRF2/YTHDC1/ZNFX1",49
"GO:0051056","regulation of small GTPase mediated signal transduction","71/2806","314/18860",0.226114649681529,1.51978698966273,3.88308265896887,0.000156083862648501,0.0107697865227466,0.00972163484223378,"AKAP13/ARHGAP12/ARHGAP23/ARHGAP28/ARHGAP29/ARHGAP32/ARHGAP35/ARHGAP42/ARHGAP5/ARHGEF10/ARHGEF12/ARHGEF18/ARHGEF4/ARHGEF5/AUTS2/BNIP2/CCDC125/CDON/CHN1/CRKL/CUL3/CYRIB/DENND3/DENND4C/DOCK3/EPHB2/EPS8/EPS8L2/F2R/FAM13B/FGD4/FGD5/GARNL3/GNA13/KANK1/KCTD13/KRAS/MAP4K4/MAPRE2/MMD2/MYO9A/NF1/NGF/NOTCH1/NUP62/PICALM/PLEKHG5/PREX2/PSD/PSD3/RAC1/RALBP1/RALGAPA2/RALGAPB/RALGPS1/RAP1GAP/RAP1GAP2/RASA4/RASGRP1/RHOF/SIPA1L1/SIPA1L2/SIPA1L3/SOS1/SSX2IP/TAX1BP3/TIAM1/TNS3/TRIO/VAV2/WNT4",71
"GO:0006352","DNA-templated transcription initiation","56/2806","234/18860",0.239316239316239,1.60851898556817,3.9159198687894,0.000161210844657133,0.0109985645927878,0.00992814746457353,"ARID1B/ARMC5/BCLAF1/BRF1/CCNH/CEBPA/CTCFL/CUL3/EGR1/ELOB/ERCC2/ERCC6/GTF2A1/GTF2A1L/GTF2B/GTF2F1/GTF2F2/GTF2H5/HEY2/INTS11/INTS13/INTS3/INTS7/KAT7/MAZ/MED11/MED15/MED18/MED25/MED28/MED4/MORC1/NFKBIZ/OGG1/PAXIP1/POLR2G/POLR3H/PPM1D/PRMT3/RBM14/RBX1/SAMD1/SETX/SIRT7/SMARCA4/SMARCA5/SMARCB1/TAF1B/TAF4B/TAF6/TAF8/TFAM/TWIST1/USP21/WDR5/ZNHIT1",56
"GO:0051225","spindle assembly","37/2806","137/18860",0.27007299270073,1.81524470503769,4.00379733335543,0.000163091866463954,0.0110032645907681,0.0099323900430153,"ABRAXAS1/ARHGEF10/BCCIP/CCSAP/CEP192/CEP63/CHMP2B/CHMP5/CHMP7/DYNC1H1/FLNA/GPSM2/GTF2B/HNRNPU/KASH5/KIF11/KIF2A/MAPRE2/MAPRE3/MLH1/MYBL2/NEK6/NUMA1/PRC1/RCC1/RHOA/RNF4/SKA1/SPICE1/STAG2/TUBB/TUBGCP3/TUBGCP4/TUBGCP5/TUBGCP6/UHRF1/WASHC5",37
"GO:0051984","positive regulation of chromosome segregation","13/2806","30/18860",0.433333333333333,2.91256830601093,4.38292416359026,0.000168310469420675,0.0112305623112345,0.0101375663883569,"CCNB1/CDC6/CDK1/HNRNPU/MAD1L1/NCAPD3/NCAPH/NUMA1/RAD18/SKA1/SMC4/SMC5/SMC6",13
"GO:0050686","negative regulation of mRNA processing","11/2806","23/18860",0.478260869565217,3.21454027084818,4.44276319730719,0.00018426919523893,0.0121617668857694,0.0109781430161225,"ACIN1/DYRK1A/NPM1/PTBP1/RBM42/RBMX/SAP18/SRSF10/SRSF4/SRSF6/U2AF2",11
"GO:1905168","positive regulation of double-strand break repair via homologous recombination","17/2806","46/18860",0.369565217391304,2.4839629365645,4.21282029956376,0.000189274864323763,0.0122653661238614,0.011071659629524,"ACTB/ATM/EPC1/EPC2/ERCC6/FUS/H2AX/MBTD1/MORF4L1/MRGBP/MRNIP/PIAS4/RAD51AP1/RNF126/RUVBL1/TIMELESS/YEATS4",17
"GO:0070507","regulation of microtubule cytoskeleton organization","43/2806","168/18860",0.255952380952381,1.72033567525371,3.92078667100142,0.000189878856331188,0.0122653661238614,0.011071659629524,"APC/APC2/BBOF1/CAMSAP1/CAMSAP3/CCSAP/CDK2AP2/CDK5R1/CHMP2B/CHMP5/CHMP7/CKAP2/CLIP3/DCTN1/DIXDC1/DYNC1H1/DYRK1A/FKBP4/FSD1/GBA2/GNAI1/GPSM2/HDGFL3/HNRNPU/MAP6/MAPRE2/MAPRE3/MAPT/MECP2/NUMA1/NUP62/PAFAH1B1/PARP3/RAC1/RAE1/RCC1/RHOA/RNF4/SKA1/SPAST/SPECC1L/TAOK1/TRAF3IP1",43
"GO:0010720","positive regulation of cell development","95/2806","451/18860",0.210643015521064,1.41579731743666,3.73651206977822,0.000221809304513928,0.0140196897281205,0.0126552465873246,"ACIN1/ACTB/ACTN3/AP3B1/ARID1B/ATXN1/BDNF/BMP2/BMPR2/BRAF/BRD2/BRD4/CAMK2B/CAPRIN1/CBFB/CD83/CDH4/CDON/CLDN5/CUX2/DAG1/DDRGK1/DICER1/DISC1/E2F1/EGR3/EPHB2/ETV5/FADD/FMR1/FOXO3/FZD3/GAS6/GFAP/GLI3/GOLGA4/GPR68/GRM5/HSF1/ID2/IL23A/IL4I1/KIT/KRAS/LIF/LIG4/LRP8/MAP6/MAPRE3/MAPT/MECP2/MME/MPL/MYB/NFKBIZ/NGF/NKX6-2/NOTCH1/NTRK2/OPA1/PAFAH1B1/PARP6/PAX6/PPP2R3C/PRKCA/PRKDC/PROC/QKI/RASGRP1/RELA/RHOA/RIPK2/RUNX3/S1PR2/SART1/SMAD7/SMARCA4/SMARCB1/SMARCC1/SMARCD3/SOX11/SOX13/SPEN/SRRT/STAT5B/STAU2/TBC1D24/TESC/TIAM1/TRIB1/TRIM32/WNT3/XRCC2/ZBTB16/ZFYVE27",95
